mapID,mapSize,chunkCount,numberOfWorkers,startTime,endTime,totalDuration
038f4217-3254-4dbc-86a5-8d1dc3cfd185,64,16,2,2025-02-20 14:57:26.647000,,
1e909640-4b35-4462-b027-bf79b3af09a1,64,16,2,2025-02-20 14:49:19.787000,2025-02-20 14:49:33.893000,14106
59a682ba-4a1f-402a-bd5c-af97aa5c288f,64,16,2,2025-02-24 16:18:08.660000,2025-02-24 16:18:23.352000,14692
6916358b-fc79-40af-9d02-7dfab63b225d,64,4,2,2025-02-24 16:21:50.110000,2025-02-24 16:21:54.848000,4738
e6ac2c2e-41a5-4bee-8e8f-3d530bd2bdb3,64,16,2,2025-02-20 14:57:56.724000,2025-02-20 14:58:09.481000,12757
